graph,method,metric,value,timestamp,database,subset,min_cov_ignored,run_id
$S_\text{Ts-2}$,denormalized,$\mu_2$: EdgeCount,1826601.0,2026-04-28 19:45:20.300972803,neo4j,edge-left,False,a5ee306f-5a06-4e55-9849-3ab736a59b11
$S_\text{Ts-2}$,denormalized,$\mu_3$: AvgNodePropCount,6.983252565931562,2026-04-28 19:45:20.300972803,neo4j,edge-left,False,a5ee306f-5a06-4e55-9849-3ab736a59b11
$S_\text{Ts-2}$,denormalized,$\mu_4$: AvgEdgePropCount,3.7878387233993314,2026-04-28 19:45:20.300972803,neo4j,edge-left,False,a5ee306f-5a06-4e55-9849-3ab736a59b11
$S_\text{Ts-2}$,edge-left,$\mu_1$: NodeCount,5286922.0,2026-04-28 19:48:08.717921660,neo4j,edge-left,False,a5ee306f-5a06-4e55-9849-3ab736a59b11
$S_\text{Ts-2}$,edge-left,$\mu_2$: EdgeCount,10378203.0,2026-04-28 19:48:08.717921660,neo4j,edge-left,False,a5ee306f-5a06-4e55-9849-3ab736a59b11
$S_\text{Ts-2}$,edge-left,$\mu_3$: AvgNodePropCount,2.418473168319681,2026-04-28 19:48:08.717921660,neo4j,edge-left,False,a5ee306f-5a06-4e55-9849-3ab736a59b11
$S_\text{Ts-2}$,edge-left,$\mu_4$: AvgEdgePropCount,0.0,2026-04-28 19:48:08.717921660,neo4j,edge-left,False,a5ee306f-5a06-4e55-9849-3ab736a59b11
$S_\text{Off-1}$,denormalized,$\mu_1$: NodeCount,2016523.0,2026-04-28 19:49:56.588813435,neo4j,all,False,a5ee306f-5a06-4e55-9849-3ab736a59b11
$S_\text{Off-1}$,denormalized,$\mu_2$: EdgeCount,3339267.0,2026-04-28 19:49:56.588813435,neo4j,all,False,a5ee306f-5a06-4e55-9849-3ab736a59b11
$S_\text{Off-1}$,denormalized,$\mu_3$: AvgNodePropCount,9.861892971218284,2026-04-28 19:49:56.588813435,neo4j,all,False,a5ee306f-5a06-4e55-9849-3ab736a59b11
$S_\text{Off-1}$,denormalized,$\mu_4$: AvgEdgePropCount,3.2509934066367396,2026-04-28 19:49:56.588813435,neo4j,all,False,a5ee306f-5a06-4e55-9849-3ab736a59b11
$S_\text{Off-1}$,all,$\mu_1$: NodeCount,2017381.0,2026-04-28 19:50:20.409128375,neo4j,all,False,a5ee306f-5a06-4e55-9849-3ab736a59b11
$S_\text{Off-1}$,all,$\mu_2$: EdgeCount,3681864.0,2026-04-28 19:50:20.409128375,neo4j,all,False,a5ee306f-5a06-4e55-9849-3ab736a59b11
$S_\text{Off-1}$,all,$\mu_3$: AvgNodePropCount,9.518903965091825,2026-04-28 19:50:20.409128375,neo4j,all,False,a5ee306f-5a06-4e55-9849-3ab736a59b11
$S_\text{Off-1}$,all,$\mu_4$: AvgEdgePropCount,2.9484888632495836,2026-04-28 19:50:20.409128375,neo4j,all,False,a5ee306f-5a06-4e55-9849-3ab736a59b11
$S_\text{Off-1}$,denormalized,$\mu_1$: NodeCount,2016523.0,2026-04-28 19:52:06.481199681,neo4j,node-left,False,a5ee306f-5a06-4e55-9849-3ab736a59b11
$S_\text{Off-1}$,denormalized,$\mu_2$: EdgeCount,3339267.0,2026-04-28 19:52:06.481199681,neo4j,node-left,False,a5ee306f-5a06-4e55-9849-3ab736a59b11
$S_\text{Off-1}$,denormalized,$\mu_3$: AvgNodePropCount,9.861892971218284,2026-04-28 19:52:06.481199681,neo4j,node-left,False,a5ee306f-5a06-4e55-9849-3ab736a59b11
$S_\text{Off-1}$,denormalized,$\mu_4$: AvgEdgePropCount,3.2509934066367396,2026-04-28 19:52:06.481199681,neo4j,node-left,False,a5ee306f-5a06-4e55-9849-3ab736a59b11
$S_\text{Off-1}$,node-left,$\mu_1$: NodeCount,2017381.0,2026-04-28 19:52:30.426569669,neo4j,node-left,False,a5ee306f-5a06-4e55-9849-3ab736a59b11
$S_\text{Off-1}$,node-left,$\mu_2$: EdgeCount,3681864.0,2026-04-28 19:52:30.426569669,neo4j,node-left,False,a5ee306f-5a06-4e55-9849-3ab736a59b11
$S_\text{Off-1}$,node-left,$\mu_3$: AvgNodePropCount,9.518903965091825,2026-04-28 19:52:30.426569669,neo4j,node-left,False,a5ee306f-5a06-4e55-9849-3ab736a59b11
$S_\text{Off-1}$,node-left,$\mu_4$: AvgEdgePropCount,2.9484888632495836,2026-04-28 19:52:30.426569669,neo4j,node-left,False,a5ee306f-5a06-4e55-9849-3ab736a59b11
$S_\text{Off-1}$,denormalized,$\mu_1$: NodeCount,2016523.0,2026-04-28 19:54:16.758518800,neo4j,edge-left,False,a5ee306f-5a06-4e55-9849-3ab736a59b11
