,scenario,queryNo,database,query,state,dbhits,mode,time,memory,plot_category,type
33,S_Nw,1,memgraph,"PROFILE MATCH (o:Order) RETURN DISTINCT o.orderID, o.customerID",before,3531,retrieval,1.523653,,retrieval $S_\text{Nw}$; Query 1; Memgraph,original
34,S_Nw,1,memgraph,"PROFILE MATCH (o:Order) WHERE o.customerID = ""FOLKO"" SET o.shipCountry = ""Rainbow""",before,1079,update,0.27577969999999996,,update $S_\text{Nw}$; Query 1; Memgraph,original
35,S_Nw,1,memgraph,"PROFILE MATCH (o:Order)-[]-(c:OcustomerIDoshipAddressoshipCityoshipCountryoshipPostalCodeoshipRegion) RETURN DISTINCT o.orderID, c.OcustomerID",after,8267,retrieval,1.7998135999999998,,retrieval $S_\text{Nw}$; Query 1; Memgraph,indirect
36,S_Nw,1,memgraph,"PROFILE MATCH (o:Order)-[]-(c:OcustomerIDoshipAddressoshipCityoshipCountryoshipPostalCodeoshipRegion) WHERE c.OcustomerID = ""FOLKO"" SET c.OshipCountry = ""Rainbow""",after,65,update,0.05961419999999997,,update $S_\text{Nw}$; Query 1; Memgraph,direct + naive
37,S_Nw,1,memgraph,"PROFILE MATCH (o:Order)-[]-(c:OcustomerIDoshipAddressoshipCityoshipCountryoshipPostalCodeoshipRegion) WHERE c.OcustomerID = ""FOLKO"" WITH DISTINCT c SET c.OshipCountry = ""Rainbow""",after,69,update,0.06977159999999996,,update $S_\text{Nw}$; Query 1; Memgraph,direct + naive
38,S_Nw,1,neo4j,"PROFILE MATCH (c:OcustomerIDoshipAddressoshipCityoshipCountryoshipPostalCodeoshipRegion) WHERE c.OcustomerID = ""FOLKO"" SET c.OshipCountry = ""Rainbow""",after,4,update,0.4008242,312.0,update $S_\text{Nw}$; Query 1; Neo4j,direct + optimal
39,S_Nw,1,neo4j,"PROFILE MATCH (o:Order) RETURN DISTINCT o.orderID, o.customerID",before,3321,retrieval,7.505829199999999,156080.0,retrieval $S_\text{Nw}$; Query 1; Neo4j,original
40,S_Nw,1,neo4j,"PROFILE MATCH (o:Order) WHERE o.customerID = ""FOLKO"" SET o.shipCountry = ""Rainbow""",before,2529,update,1.282863,328.0,update $S_\text{Nw}$; Query 1; Neo4j,original
41,S_Nw,1,neo4j,"PROFILE MATCH (o:Order)-[]-(c:OcustomerIDoshipAddressoshipCityoshipCountryoshipPostalCodeoshipRegion) RETURN DISTINCT o.orderID, c.OcustomerID",after,4507,retrieval,12.3264899,156096.0,retrieval $S_\text{Nw}$; Query 1; Neo4j,indirect
42,S_Nw,1,neo4j,"PROFILE MATCH (o:Order)-[]-(c:OcustomerIDoshipAddressoshipCityoshipCountryoshipPostalCodeoshipRegion) WHERE c.OcustomerID = ""FOLKO"" SET c.OshipCountry = ""Rainbow""",after,98,update,0.5113437000000001,328.0,update $S_\text{Nw}$; Query 1; Neo4j,direct + naive
